
INSERT INTO Canciones (id, nombre, autor, enlace) VALUES
(87, 'Canción 87', 'Autor 87', 'https://www.example.com/cancion87'),
(88, 'Canción 88', 'Autor 88', 'https://www.example.com/cancion88'),
(89, 'Canción 89', 'Autor 89', 'https://www.example.com/cancion89'),
(90, 'Canción 90', 'Autor 90', 'https://www.example.com/cancion90'),
(91, 'Canción 91', 'Autor 91', 'https://www.example.com/cancion91'),
(92, 'Canción 92', 'Autor 92', 'https://www.example.com/cancion92'),
(93, 'Canción 93', 'Autor 93', 'https://www.example.com/cancion93'),
(94, 'Canción 94', 'Autor 94', 'https://www.example.com/cancion94'),
(95, 'Canción 95', 'Autor 95', 'https://www.example.com/cancion95'),
(96, 'Canción 96', 'Autor 96', 'https://www.example.com/cancion96'),
(97, 'Canción 97', 'Autor 97', 'https://www.example.com/cancion97'),
(98, 'Canción 98', 'Autor 98', 'https://www.example.com/cancion98'),
(99, 'Canción 99', 'Autor 99', 'https://www.example.com/cancion99'),
(100, 'Canción 100', 'Autor 100', 'https://www.example.com/cancion100'),
(101, 'Canción 101', 'Autor 101', 'https://www.example.com/cancion101'),
(102, 'Canción 102', 'Autor 102', 'https://www.example.com/cancion102'),
(103, 'Canción 103', 'Autor 103', 'https://www.example.com/cancion103'),
(104, 'Canción 104', 'Autor 104', 'https://www.example.com/cancion104'),
(105, 'Canción 105', 'Autor 105', 'https://www.example.com/cancion105'),
(106, 'Canción 106', 'Autor 106', 'https://www.example.com/cancion106'),
(107, 'Canción 107', 'Autor 107', 'https://www.example.com/cancion107'),
(108, 'Canción 108', 'Autor 108', 'https://www.example.com/cancion108'),
(109, 'Canción 109', 'Autor 109', 'https://www.example.com/cancion109'),
(110, 'Canción 110', 'Autor 110', 'https://www.example.com/cancion110'),
(111, 'Canción 111', 'Autor 111', 'https://www.example.com/cancion111'),
(112, 'Canción 112', 'Autor 112', 'https://www.example.com/cancion112'),
(113, 'Canción 113', 'Autor 113', 'https://www.example.com/cancion113'),
(114, 'Canción 114', 'Autor 114', 'https://www.example.com/cancion114'),
(115, 'Canción 115', 'Autor 115', 'https://www.example.com/cancion115'),
(116, 'Canción 116', 'Autor 116', 'https://www.example.com/cancion116'),
(117, 'Canción 117', 'Autor 117', 'https://www.example.com/cancion117'),
(118, 'Canción 118', 'Autor 118', 'https://www.example.com/cancion118'),
(119, 'Canción 119', 'Autor 119', 'https://www.example.com/cancion119'),
(120, 'Canción 120', 'Autor 120', 'https://www.example.com/cancion120'),
(121, 'Canción 121', 'Autor 121', 'https://www.example.com/cancion121'),
(122, 'Canción 122', 'Autor 122', 'https://www.example.com/cancion122'),
(123, 'Canción 123', 'Autor 123', 'https://www.example.com/cancion123'),
(124, 'Canción 124', 'Autor 124', 'https://www.example.com/cancion124'),
(125, 'Canción 125', 'Autor 125', 'https://www.example.com/cancion125'),
(126, 'Canción 126', 'Autor 126', 'https://www.example.com/cancion126'),
(127, 'Canción 127', 'Autor 127', 'https://www.example.com/cancion127'),
(128, 'Canción 128', 'Autor 128', 'https://www.example.com/cancion128'),
(129, 'Canción 129', 'Autor 129', 'https://www.example.com/cancion129'),
(130, 'Canción 130', 'Autor 130', 'https://www.example.com/cancion130'),
(131, 'Canción 131', 'Autor 131', 'https://www.example.com/cancion131'),
(132, 'Canción 132', 'Autor 132', 'https://www.example.com/cancion132'),
(133, 'Canción 133', 'Autor 133', 'https://www.example.com/cancion133'),
(134, 'Canción 134', 'Autor 134', 'https://www.example.com/cancion134'),
(135, 'Canción 135', 'Autor 135', 'https://www.example.com/cancion135'),
(136, 'Canción 136', 'Autor 136', 'https://www.example.com/cancion136'),
(137, 'Canción 137', 'Autor 137', 'https://www.example.com/cancion137'),
(138, 'Canción 138', 'Autor 138', 'https://www.example.com/cancion138'),
(139, 'Canción 139', 'Autor 139', 'https://www.example.com/cancion139'),
(140, 'Canción 140', 'Autor 140', 'https://www.example.com/cancion140'),
(141, 'Canción 141', 'Autor 141', 'https://www.example.com/cancion141'),
(142, 'Canción 142', 'Autor 142', 'https://www.example.com/cancion142'),
(143, 'Canción 143', 'Autor 143', 'https://www.example.com/cancion143'),
(144, 'Canción 144', 'Autor 144', 'https://www.example.com/cancion144'),
(145, 'Canción 145', 'Autor 145', 'https://www.example.com/cancion145'),
(146, 'Canción 146', 'Autor 146', 'https://www.example.com/cancion146'),
(147, 'Canción 147', 'Autor 147', 'https://www.example.com/cancion147'),
(148, 'Canción 148', 'Autor 148', 'https://www.example.com/cancion148'),
(149, 'Canción 149', 'Autor 149', 'https://www.example.com/cancion149'),
(150, 'Canción 150', 'Autor 150', 'https://www.example.com/cancion150'),
(151, 'Canción 151', 'Autor 151', 'https://www.example.com/cancion151'),
(152, 'Canción 152', 'Autor 152', 'https://www.example.com/cancion152'),
(153, 'Canción 153', 'Autor 153', 'https://www.example.com/cancion153'),
(154, 'Canción 154', 'Autor 154', 'https://www.example.com/cancion154'),
(155, 'Canción 155', 'Autor 155', 'https://www.example.com/cancion155'),
(156, 'Canción 156', 'Autor 156', 'https://www.example.com/cancion156'),
(157, 'Canción 157', 'Autor 157', 'https://www.example.com/cancion157'),
(158, 'Canción 158', 'Autor 158', 'https://www.example.com/cancion158'),
(159, 'Canción 159', 'Autor 159', 'https://www.example.com/cancion159'),
(160, 'Canción 160', 'Autor 160', 'https://www.example.com/cancion160'),
(161, 'Canción 161', 'Autor 161', 'https://www.example.com/cancion161'),
(162, 'Canción 162', 'Autor 162', 'https://www.example.com/cancion162'),
(163, 'Canción 163', 'Autor 163', 'https://www.example.com/cancion163'),
(164, 'Canción 164', 'Autor 164', 'https://www.example.com/cancion164'),
(165, 'Canción 165', 'Autor 165', 'https://www.example.com/cancion165'),
(166, 'Canción 166', 'Autor 166', 'https://www.example.com/cancion166'),
(167, 'Canción 167', 'Autor 167', 'https://www.example.com/cancion167'),
(168, 'Canción 168', 'Autor 168', 'https://www.example.com/cancion168'),
(169, 'Canción 169', 'Autor 169', 'https://www.example.com/cancion169'),
(170, 'Canción 170', 'Autor 170', 'https://www.example.com/cancion170'),
(171, 'Canción 171', 'Autor 171', 'https://www.example.com/cancion171'),
(172, 'Canción 172', 'Autor 172', 'https://www.example.com/cancion172'),
(173, 'Canción 173', 'Autor 173', 'https://www.example.com/cancion173'),
(174, 'Canción 174', 'Autor 174', 'https://www.example.com/cancion174'),
(175, 'Canción 175', 'Autor 175', 'https://www.example.com/cancion175'),
(176, 'Canción 176', 'Autor 176', 'https://www.example.com/cancion176'),
(177, 'Canción 177', 'Autor 177', 'https://www.example.com/cancion177'),
(178, 'Canción 178', 'Autor 178', 'https://www.example.com/cancion178'),
(179, 'Canción 179', 'Autor 179', 'https://www.example.com/cancion179'),
(180, 'Canción 180', 'Autor 180', 'https://www.example.com/cancion180'),
(181, 'Canción 181', 'Autor 181', 'https://www.example.com/cancion181'),
(182, 'Canción 182', 'Autor 182', 'https://www.example.com/cancion182'),
(183, 'Canción 183', 'Autor 183', 'https://www.example.com/cancion183'),
(184, 'Canción 184', 'Autor 184', 'https://www.example.com/cancion184'),
(185, 'Canción 185', 'Autor 185', 'https://www.example.com/cancion185'),
(186, 'Canción 186', 'Autor 186', 'https://www.example.com/cancion186'),
(187, 'Canción 187', 'Autor 187', 'https://www.example.com/cancion187'),
(188, 'Canción 188', 'Autor 188', 'https://www.example.com/cancion188'),
(189, 'Canción 189', 'Autor 189', 'https://www.example.com/cancion189'),
(190, 'Canción 190', 'Autor 190', 'https://www.example.com/cancion190'),
(191, 'Canción 191', 'Autor 191', 'https://www.example.com/cancion191'),
(192, 'Canción 192', 'Autor 192', 'https://www.example.com/cancion192'),
(193, 'Canción 193', 'Autor 193', 'https://www.example.com/cancion193'),
(194, 'Canción 194', 'Autor 194', 'https://www.example.com/cancion194'),
(195, 'Canción 195', 'Autor 195', 'https://www.example.com/cancion195'),
(196, 'Canción 196', 'Autor 196', 'https://www.example.com/cancion196'),
(197, 'Canción 197', 'Autor 197', 'https://www.example.com/cancion197'),
(198, 'Canción 198', 'Autor 198', 'https://www.example.com/cancion198'),
(199, 'Canción 199', 'Autor 199', 'https://www.example.com/cancion199'),
(200, 'Canción 200', 'Autor 200', 'https://www.example.com/cancion200'),
(201, 'Canción 201', 'Autor 201', 'https://www.example.com/cancion201'),
(202, 'Canción 202', 'Autor 202', 'https://www.example.com/cancion202'),
(203, 'Canción 203', 'Autor 203', 'https://www.example.com/cancion203'),
(204, 'Canción 204', 'Autor 204', 'https://www.example.com/cancion204'),
(205, 'Canción 205', 'Autor 205', 'https://www.example.com/cancion205'),
(206, 'Canción 206', 'Autor 206', 'https://www.example.com/cancion206'),
(207, 'Canción 207', 'Autor 207', 'https://www.example.com/cancion207'),
(208, 'Canción 208', 'Autor 208', 'https://www.example.com/cancion208'),
(209, 'Canción 209', 'Autor 209', 'https://www.example.com/cancion209'),
(210, 'Canción 210', 'Autor 210', 'https://www.example.com/cancion210'),
(211, 'Canción 211', 'Autor 211', 'https://www.example.com/cancion211'),
(212, 'Canción 212', 'Autor 212', 'https://www.example.com/cancion212'),
(213, 'Canción 213', 'Autor 213', 'https://www.example.com/cancion213'),
(214, 'Canción 214', 'Autor 214', 'https://www.example.com/cancion214'),
(215, 'Canción 215', 'Autor 215', 'https://www.example.com/cancion215'),
(216, 'Canción 216', 'Autor 216', 'https://www.example.com/cancion216'),
(217, 'Canción 217', 'Autor 217', 'https://www.example.com/cancion217'),
(218, 'Canción 218', 'Autor 218', 'https://www.example.com/cancion218'),
(219, 'Canción 219', 'Autor 219', 'https://www.example.com/cancion219'),
(220, 'Canción 220', 'Autor 220', 'https://www.example.com/cancion220'),
(221, 'Canción 221', 'Autor 221', 'https://www.example.com/cancion221'),
(222, 'Canción 222', 'Autor 222', 'https://www.example.com/cancion222'),
(223, 'Canción 223', 'Autor 223', 'https://www.example.com/cancion223'),
(224, 'Canción 224', 'Autor 224', 'https://www.example.com/cancion224'),
(225, 'Canción 225', 'Autor 225', 'https://www.example.com/cancion225'),
(226, 'Canción 226', 'Autor 226', 'https://www.example.com/cancion226'),
(227, 'Canción 227', 'Autor 227', 'https://www.example.com/cancion227'),
(228, 'Canción 228', 'Autor 228', 'https://www.example.com/cancion228'),
(229, 'Canción 229', 'Autor 229', 'https://www.example.com/cancion229'),
(230, 'Canción 230', 'Autor 230', 'https://www.example.com/cancion230'),
(231, 'Canción 231', 'Autor 231', 'https://www.example.com/cancion231'),
(232, 'Canción 232', 'Autor 232', 'https://www.example.com/cancion232'),
(233, 'Canción 233', 'Autor 233', 'https://www.example.com/cancion233'),
(234, 'Canción 234', 'Autor 234', 'https://www.example.com/cancion234'),
(235, 'Canción 235', 'Autor 235', 'https://www.example.com/cancion235'),
(236, 'Canción 236', 'Autor 236', 'https://www.example.com/cancion236'),
(237, 'Canción 237', 'Autor 237', 'https://www.example.com/cancion237'),
(238, 'Canción 238', 'Autor 238', 'https://www.example.com/cancion238'),
(239, 'Canción 239', 'Autor 239', 'https://www.example.com/cancion239'),
(240, 'Canción 240', 'Autor 240', 'https://www.example.com/cancion240'),
(241, 'Canción 241', 'Autor 241', 'https://www.example.com/cancion241'),
(242, 'Canción 242', 'Autor 242', 'https://www.example.com/cancion242'),
(243, 'Canción 243', 'Autor 243', 'https://www.example.com/cancion243'),
(244, 'Canción 244', 'Autor 244', 'https://www.example.com/cancion244'),
(245, 'Canción 245', 'Autor 245', 'https://www.example.com/cancion245'),
(246, 'Canción 246', 'Autor 246', 'https://www.example.com/cancion246'),
(247, 'Canción 247', 'Autor 247', 'https://www.example.com/cancion247'),
(248, 'Canción 248', 'Autor 248', 'https://www.example.com/cancion248'),
(249, 'Canción 249', 'Autor 249', 'https://www.example.com/cancion249'),
(250, 'Canción 250', 'Autor 250', 'https://www.example.com/cancion250'),
(251, 'Canción 251', 'Autor 251', 'https://www.example.com/cancion251'),
(252, 'Canción 252', 'Autor 252', 'https://www.example.com/cancion252'),
(253, 'Canción 253', 'Autor 253', 'https://www.example.com/cancion253'),
(254, 'Canción 254', 'Autor 254', 'https://www.example.com/cancion254'),
(255, 'Canción 255', 'Autor 255', 'https://www.example.com/cancion255'),
(256, 'Canción 256', 'Autor 256', 'https://www.example.com/cancion256'),
(257, 'Canción 257', 'Autor 257', 'https://www.example.com/cancion257'),
(258, 'Canción 258', 'Autor 258', 'https://www.example.com/cancion258'),
(259, 'Canción 259', 'Autor 259', 'https://www.example.com/cancion259'),
(260, 'Canción 260', 'Autor 260', 'https://www.example.com/cancion260'),
(261, 'Canción 261', 'Autor 261', 'https://www.example.com/cancion261'),
(262, 'Canción 262', 'Autor 262', 'https://www.example.com/cancion262'),
(263, 'Canción 263', 'Autor 263', 'https://www.example.com/cancion263'),
(264, 'Canción 264', 'Autor 264', 'https://www.example.com/cancion264'),
(265, 'Canción 265', 'Autor 265', 'https://www.example.com/cancion265'),
(266, 'Canción 266', 'Autor 266', 'https://www.example.com/cancion266'),
(267, 'Canción 267', 'Autor 267', 'https://www.example.com/cancion267'),
(268, 'Canción 268', 'Autor 268', 'https://www.example.com/cancion268'),
(269, 'Canción 269', 'Autor 269', 'https://www.example.com/cancion269'),
(270, 'Canción 270', 'Autor 270', 'https://www.example.com/cancion270'),
(271, 'Canción 271', 'Autor 271', 'https://www.example.com/cancion271'),
(272, 'Canción 272', 'Autor 272', 'https://www.example.com/cancion272'),
(273, 'Canción 273', 'Autor 273', 'https://www.example.com/cancion273'),
(274, 'Canción 274', 'Autor 274', 'https://www.example.com/cancion274'),
(275, 'Canción 275', 'Autor 275', 'https://www.example.com/cancion275'),
(276, 'Canción 276', 'Autor 276', 'https://www.example.com/cancion276'),
(277, 'Canción 277', 'Autor 277', 'https://www.example.com/cancion277'),
(278, 'Canción 278', 'Autor 278', 'https://www.example.com/cancion278'),
(279, 'Canción 279', 'Autor 279', 'https://www.example.com/cancion279'),
(280, 'Canción 280', 'Autor 280', 'https://www.example.com/cancion280'),
(281, 'Canción 281', 'Autor 281', 'https://www.example.com/cancion281'),
(282, 'Canción 282', 'Autor 282', 'https://www.example.com/cancion282'),
(283, 'Canción 283', 'Autor 283', 'https://www.example.com/cancion283'),
(284, 'Canción 284', 'Autor 284', 'https://www.example.com/cancion284'),
(285, 'Canción 285', 'Autor 285', 'https://www.example.com/cancion285'),
(286, 'Canción 286', 'Autor 286', 'https://www.example.com/cancion286'),
(287, 'Canción 287', 'Autor 287', 'https://www.example.com/cancion287'),
(288, 'Canción 288', 'Autor 288', 'https://www.example.com/cancion288'),
(289, 'Canción 289', 'Autor 289', 'https://www.example.com/cancion289'),
(290, 'Canción 290', 'Autor 290', 'https://www.example.com/cancion290'),
(291, 'Canción 291', 'Autor 291', 'https://www.example.com/cancion291'),
(292, 'Canción 292', 'Autor 292', 'https://www.example.com/cancion292'),
(293, 'Canción 293', 'Autor 293', 'https://www.example.com/cancion293'),
(294, 'Canción 294', 'Autor 294', 'https://www.example.com/cancion294'),
(295, 'Canción 295', 'Autor 295', 'https://www.example.com/cancion295'),
(296, 'Canción 296', 'Autor 296', 'https://www.example.com/cancion296'),
(297, 'Canción 297', 'Autor 297', 'https://www.example.com/cancion297'),
(298, 'Canción 298', 'Autor 298', 'https://www.example.com/cancion298'),
(299, 'Canción 299', 'Autor 299', 'https://www.example.com/cancion299'),
(300, 'Canción 300', 'Autor 300', 'https://www.example.com/cancion300'),
(301, 'Canción 301', 'Autor 301', 'https://www.example.com/cancion301'),
(302, 'Canción 302', 'Autor 302', 'https://www.example.com/cancion302'),
(303, 'Canción 303', 'Autor 303', 'https://www.example.com/cancion303'),
(304, 'Canción 304', 'Autor 304', 'https://www.example.com/cancion304'),
(305, 'Canción 305', 'Autor 305', 'https://www.example.com/cancion305'),
(306, 'Canción 306', 'Autor 306', 'https://www.example.com/cancion306'),
(307, 'Canción 307', 'Autor 307', 'https://www.example.com/cancion307'),
(308, 'Canción 308', 'Autor 308', 'https://www.example.com/cancion308'),
(309, 'Canción 309', 'Autor 309', 'https://www.example.com/cancion309'),
(310, 'Canción 310', 'Autor 310', 'https://www.example.com/cancion310'),
(311, 'Canción 311', 'Autor 311', 'https://www.example.com/cancion311'),
(312, 'Canción 312', 'Autor 312', 'https://www.example.com/cancion312'),
(313, 'Canción 313', 'Autor 313', 'https://www.example.com/cancion313'),
(314, 'Canción 314', 'Autor 314', 'https://www.example.com/cancion314'),
(315, 'Canción 315', 'Autor 315', 'https://www.example.com/cancion315'),
(316, 'Canción 316', 'Autor 316', 'https://www.example.com/cancion316'),
(317, 'Canción 317', 'Autor 317', 'https://www.example.com/cancion317'),
(318, 'Canción 318', 'Autor 318', 'https://www.example.com/cancion318'),
(319, 'Canción 319', 'Autor 319', 'https://www.example.com/cancion319'),
(320, 'Canción 320', 'Autor 320', 'https://www.example.com/cancion320'),
(321, 'Canción 321', 'Autor 321', 'https://www.example.com/cancion321'),
(322, 'Canción 322', 'Autor 322', 'https://www.example.com/cancion322'),
(323, 'Canción 323', 'Autor 323', 'https://www.example.com/cancion323'),
(324, 'Canción 324', 'Autor 324', 'https://www.example.com/cancion324'),
(325, 'Canción 325', 'Autor 325', 'https://www.example.com/cancion325'),
(326, 'Canción 326', 'Autor 326', 'https://www.example.com/cancion326'),
(327, 'Canción 327', 'Autor 327', 'https://www.example.com/cancion327'),
(328, 'Canción 328', 'Autor 328', 'https://www.example.com/cancion328'),
(329, 'Canción 329', 'Autor 329', 'https://www.example.com/cancion329'),
(330, 'Canción 330', 'Autor 330', 'https://www.example.com/cancion330'),
(331, 'Canción 331', 'Autor 331', 'https://www.example.com/cancion331'),
(332, 'Canción 332', 'Autor 332', 'https://www.example.com/cancion332'),
(333, 'Canción 333', 'Autor 333', 'https://www.example.com/cancion333'),
(334, 'Canción 334', 'Autor 334', 'https://www.example.com/cancion334'),
(335, 'Canción 335', 'Autor 335', 'https://www.example.com/cancion335'),
(336, 'Canción 336', 'Autor 336', 'https://www.example.com/cancion336'),
(337, 'Canción 337', 'Autor 337', 'https://www.example.com/cancion337'),
(338, 'Canción 338', 'Autor 338', 'https://www.example.com/cancion338'),
(339, 'Canción 339', 'Autor 339', 'https://www.example.com/cancion339'),
(340, 'Canción 340', 'Autor 340', 'https://www.example.com/cancion340'),
(341, 'Canción 341', 'Autor 341', 'https://www.example.com/cancion341'),
(342, 'Canción 342', 'Autor 342', 'https://www.example.com/cancion342'),
(343, 'Canción 343', 'Autor 343', 'https://www.example.com/cancion343'),
(344, 'Canción 344', 'Autor 344', 'https://www.example.com/cancion344'),
(345, 'Canción 345', 'Autor 345', 'https://www.example.com/cancion345'),
(346, 'Canción 346', 'Autor 346', 'https://www.example.com/cancion346'),
(347, 'Canción 347', 'Autor 347', 'https://www.example.com/cancion347'),
(348, 'Canción 348', 'Autor 348', 'https://www.example.com/cancion348'),
(349, 'Canción 349', 'Autor 349', 'https://www.example.com/cancion349'),
(350, 'Canción 350', 'Autor 350', 'https://www.example.com/cancion350'),
(351, 'Canción 351', 'Autor 351', 'https://www.example.com/cancion351'),
(352, 'Canción 352', 'Autor 352', 'https://www.example.com/cancion352'),
(353, 'Canción 353', 'Autor 353', 'https://www.example.com/cancion353'),
(354, 'Canción 354', 'Autor 354', 'https://www.example.com/cancion354'),
(355, 'Canción 355', 'Autor 355', 'https://www.example.com/cancion355'),
(356, 'Canción 356', 'Autor 356', 'https://www.example.com/cancion356'),
(357, 'Canción 357', 'Autor 357', 'https://www.example.com/cancion357'),
(358, 'Canción 358', 'Autor 358', 'https://www.example.com/cancion358'),
(359, 'Canción 359', 'Autor 359', 'https://www.example.com/cancion359'),
(360, 'Canción 360', 'Autor 360', 'https://www.example.com/cancion360'),
(361, 'Canción 361', 'Autor 361', 'https://www.example.com/cancion361'),
(362, 'Canción 362', 'Autor 362', 'https://www.example.com/cancion362'),
(363, 'Canción 363', 'Autor 363', 'https://www.example.com/cancion363'),
(364, 'Canción 364', 'Autor 364', 'https://www.example.com/cancion364'),
(365, 'Canción 365', 'Autor 365', 'https://www.example.com/cancion365'),
(366, 'Canción 366', 'Autor 366', 'https://www.example.com/cancion366'),
(367, 'Canción 367', 'Autor 367', 'https://www.example.com/cancion367'),
(368, 'Canción 368', 'Autor 368', 'https://www.example.com/cancion368'),
(369, 'Canción 369', 'Autor 369', 'https://www.example.com/cancion369'),
(370, 'Canción 370', 'Autor 370', 'https://www.example.com/cancion370'),
(371, 'Canción 371', 'Autor 371', 'https://www.example.com/cancion371'),
(372, 'Canción 372', 'Autor 372', 'https://www.example.com/cancion372'),
(373, 'Canción 373', 'Autor 373', 'https://www.example.com/cancion373'),
(374, 'Canción 374', 'Autor 374', 'https://www.example.com/cancion374'),
(375, 'Canción 375', 'Autor 375', 'https://www.example.com/cancion375'),
(376, 'Canción 376', 'Autor 376', 'https://www.example.com/cancion376'),
(377, 'Canción 377', 'Autor 377', 'https://www.example.com/cancion377'),
(378, 'Canción 378', 'Autor 378', 'https://www.example.com/cancion378'),
(379, 'Canción 379', 'Autor 379', 'https://www.example.com/cancion379'),
(380, 'Canción 380', 'Autor 380', 'https://www.example.com/cancion380'),
(381, 'Canción 381', 'Autor 381', 'https://www.example.com/cancion381'),
(382, 'Canción 382', 'Autor 382', 'https://www.example.com/cancion382'),
(383, 'Canción 383', 'Autor 383', 'https://www.example.com/cancion383'),
(384, 'Canción 384', 'Autor 384', 'https://www.example.com/cancion384'),
(385, 'Canción 385', 'Autor 385', 'https://www.example.com/cancion385'),
(386, 'Canción 386', 'Autor 386', 'https://www.example.com/cancion386'),
(387, 'Canción 387', 'Autor 387', 'https://www.example.com/cancion387'),
