INSERT INTO Twitch (id, canal, autor, enlace, genero) VALUES
(56, 'OutdoorsLife56', 'Explorer56', 'https://www.twitch.tv/outdoorslife56', 'Outdoors'),
(57, 'MusicJam57', 'Musician57', 'https://www.twitch.tv/musicjam57', 'Music'),
(58, 'HealthTalk58', 'Doctor58', 'https://www.twitch.tv/healthtalk58', 'Health'),
(59, 'PetsParadise59', 'PetLover59', 'https://www.twitch.tv/petsparadise59', 'Pets'),
(60, 'BusinessInsights60', 'BusinessExpert60', 'https://www.twitch.tv/businessinsights60', 'Business'),
(61, 'ScienceLab61', 'Scientist61', 'https://www.twitch.tv/sciencelab61', 'Science'),
(62, 'DIYProjects62', 'DIYer62', 'https://www.twitch.tv/diyprojects62', 'DIY'),
(63, 'CookingMaster63', 'MasterChef63', 'https://www.twitch.tv/cookingmaster63', 'Cooking'),
(64, 'ArtGallery64', 'ArtCurator64', 'https://www.twitch.tv/artgallery64', 'Art'),
(65, 'TechInnovators65', 'Innovator65', 'https://www.twitch.tv/techinnovators65', 'Technology'),
(66, 'OutdoorsLife66', 'Explorer66', 'https://www.twitch.tv/outdoorslife66', 'Outdoors'),
(67, 'MusicJam67', 'Musician67', 'https://www.twitch.tv/musicjam67', 'Music'),
(68, 'HealthTalk68', 'Doctor68', 'https://www.twitch.tv/healthtalk68', 'Health'),
(69, 'PetsParadise69', 'PetLover69', 'https://www.twitch.tv/petsparadise69', 'Pets'),
(70, 'BusinessInsights70', 'BusinessExpert70', 'https://www.twitch.tv/businessinsights70', 'Business'),
(71, 'ScienceLab71', 'Scientist71', 'https://www.twitch.tv/sciencelab71', 'Science'),
(72, 'DIYProjects72', 'DIYer72', 'https://www.twitch.tv/diyprojects72', 'DIY'),
(73, 'CookingMaster73', 'MasterChef73', 'https://www.twitch.tv/cookingmaster73', 'Cooking'),
(74, 'ArtGallery74', 'ArtCurator74', 'https://www.twitch.tv/artgallery74', 'Art'),
(75, 'TechInnovators75', 'Innovator75', 'https://www.twitch.tv/techinnovators75', 'Technology'),
(76, 'OutdoorsLife76', 'Explorer76', 'https://www.twitch.tv/outdoorslife76', 'Outdoors'),
(77, 'MusicJam77', 'Musician77', 'https://www.twitch.tv/musicjam77', 'Music'),
(78, 'HealthTalk78', 'Doctor78', 'https://www.twitch.tv/healthtalk78', 'Health'),
(79, 'PetsParadise79', 'PetLover79', 'https://www.twitch.tv/petsparadise79', 'Pets'),
(80, 'BusinessInsights80', 'BusinessExpert80', 'https://www.twitch.tv/businessinsights80', 'Business'),
(81, 'ScienceLab81', 'Scientist81', 'https://www.twitch.tv/sciencelab81', 'Science'),
(82, 'DIYProjects82', 'DIYer82', 'https://www.twitch.tv/diyprojects82', 'DIY'),
(83, 'CookingMaster83', 'MasterChef83', 'https://www.twitch.tv/cookingmaster83', 'Cooking'),
(84, 'ArtGallery84', 'ArtCurator84', 'https://www.twitch.tv/artgallery84', 'Art'),
(85, 'TechInnovators85', 'Innovator85', 'https://www.twitch.tv/techinnovators85', 'Technology'),
(86, 'OutdoorsLife86', 'Explorer86', 'https://www.twitch.tv/outdoorslife86', 'Outdoors'),
(87, 'MusicJam87', 'Musician87', 'https://www.twitch.tv/musicjam87', 'Music'),
(88, 'HealthTalk88', 'Doctor88', 'https://www.twitch.tv/healthtalk88', 'Health'),
(89, 'PetsParadise89', 'PetLover89', 'https://www.twitch.tv/petsparadise89', 'Pets'),
(90, 'BusinessInsights90', 'BusinessExpert90', 'https://www.twitch.tv/businessinsights90', 'Business'),
(91, 'ScienceLab91', 'Scientist91', 'https://www.twitch.tv/sciencelab91', 'Science'),
(92, 'DIYProjects92', 'DIYer92', 'https://www.twitch.tv/diyprojects92', 'DIY'),
(93, 'CookingMaster93', 'MasterChef93', 'https://www.twitch.tv/cookingmaster93', 'Cooking'),
(94, 'ArtGallery94', 'ArtCurator94', 'https://www.twitch.tv/artgallery94', 'Art'),
(95, 'TechInnovators95', 'Innovator95', 'https://www.twitch.tv/techinnovators95', 'Technology'),
(96, 'OutdoorsLife96', 'Explorer96', 'https://www.twitch.tv/outdoorslife96', 'Outdoors'),
(97, 'MusicJam97', 'Musician97', 'https://www.twitch.tv/musicjam97', 'Music'),
(98, 'HealthTalk98', 'Doctor98', 'https://www.twitch.tv/healthtalk98', 'Health'),
(99, 'PetsParadise99', 'PetLover99', 'https://www.twitch.tv/petsparadise99', 'Pets'),
(100, 'BusinessInsights100', 'BusinessExpert100', 'https://www.twitch.tv/businessinsights100', 'Business'),
(101, 'ScienceLab101', 'Scientist101', 'https://www.twitch.tv/sciencelab101', 'Science'),
(102, 'DIYProjects102', 'DIYer102', 'https://www.twitch.tv/diyprojects102', 'DIY'),
(103, 'CookingMaster103', 'MasterChef103', 'https://www.twitch.tv/cookingmaster103', 'Cooking'),
(104, 'ArtGallery104', 'ArtCurator104', 'https://www.twitch.tv/artgallery104', 'Art'),
(105, 'TechInnovators105', 'Innovator105', 'https://www.twitch.tv/techinnovators105', 'Technology'),
(106, 'OutdoorsLife106', 'Explorer106', 'https://www.twitch.tv/outdoorslife106', 'Outdoors'),
(107, 'MusicJam107', 'Musician107', 'https://www.twitch.tv/musicjam107', 'Music'),
(108, 'HealthTalk108', 'Doctor108', 'https://www.twitch.tv/healthtalk108', 'Health'),
(109, 'PetsParadise109', 'PetLover109', 'https://www.twitch.tv/petsparadise109', 'Pets'),
(110, 'BusinessInsights110', 'BusinessExpert110', 'https://www.twitch.tv/businessinsights110', 'Business'),
(111, 'ScienceLab111', 'Scientist111', 'https://www.twitch.tv/sciencelab111', 'Science'),
(112, 'DIYProjects112', 'DIYer112', 'https://www.twitch.tv/diyprojects112', 'DIY'),
(113, 'CookingMaster113', 'MasterChef113', 'https://www.twitch.tv/cookingmaster113', 'Cooking'),
(114, 'ArtGallery114', 'ArtCurator114', 'https://www.twitch.tv/artgallery114', 'Art'),
(115, 'TechInnovators115', 'Innovator115', 'https://www.twitch.tv/techinnovators115', 'Technology'),
(116, 'OutdoorsLife116', 'Explorer116', 'https://www.twitch.tv/outdoorslife116', 'Outdoors'),
(117, 'MusicJam117', 'Musician117', 'https://www.twitch.tv/musicjam117', 'Music'),
(118, 'HealthTalk118', 'Doctor118', 'https://www.twitch.tv/healthtalk118', 'Health'),
(119, 'PetsParadise119', 'PetLover119', 'https://www.twitch.tv/petsparadise119', 'Pets'),
(120, 'BusinessInsights120', 'BusinessExpert120', 'https://www.twitch.tv/businessinsights120', 'Business'),
(121, 'ScienceLab121', 'Scientist121', 'https://www.twitch.tv/sciencelab121', 'Science'),
(122, 'DIYProjects122', 'DIYer122', 'https://www.twitch.tv/diyprojects122', 'DIY'),
(123, 'CookingMaster123', 'MasterChef123', 'https://www.twitch.tv/cookingmaster123', 'Cooking'),
(124, 'ArtGallery124', 'ArtCurator124', 'https://www.twitch.tv/artgallery124', 'Art'),
(125, 'TechInnovators125', 'Innovator125', 'https://www.twitch.tv/techinnovators125', 'Technology'),
(126, 'OutdoorsLife126', 'Explorer126', 'https://www.twitch.tv/outdoorslife126', 'Outdoors'),
(127, 'MusicJam127', 'Musician127', 'https://www.twitch.tv/musicjam127', 'Music'),
(128, 'HealthTalk128', 'Doctor128', 'https://www.twitch.tv/healthtalk128', 'Health'),
(129, 'PetsParadise129', 'PetLover129', 'https://www.twitch.tv/petsparadise129', 'Pets'),
(130, 'BusinessInsights130', 'BusinessExpert130', 'https://www.twitch.tv/businessinsights130', 'Business'),
(131, 'ScienceLab131', 'Scientist131', 'https://www.twitch.tv/sciencelab131', 'Science'),
(132, 'DIYProjects132', 'DIYer132', 'https://www.twitch.tv/diyprojects132', 'DIY'),
(133, 'CookingMaster133', 'MasterChef133', 'https://www.twitch.tv/cookingmaster133', 'Cooking'),
(134, 'ArtGallery134', 'ArtCurator134', 'https://www.twitch.tv/artgallery134', 'Art'),
(135, 'TechInnovators135', 'Innovator135', 'https://www.twitch.tv/techinnovators135', 'Technology'),
(136, 'OutdoorsLife136', 'Explorer136', 'https://www.twitch.tv/outdoorslife136', 'Outdoors'),
(137, 'MusicJam137', 'Musician137', 'https://www.twitch.tv/musicjam137', 'Music'),
(138, 'HealthTalk138', 'Doctor138', 'https://www.twitch.tv/healthtalk138', 'Health'),
(139, 'PetsParadise139', 'PetLover139', 'https://www.twitch.tv/petsparadise139', 'Pets'),
(140, 'BusinessInsights140', 'BusinessExpert140', 'https://www.twitch.tv/businessinsights140', 'Business'),
(141, 'ScienceLab141', 'Scientist141', 'https://www.twitch.tv/sciencelab141', 'Science'),
(142, 'DIYProjects142', 'DIYer142', 'https://www.twitch.tv/diyprojects142', 'DIY'),
(143, 'CookingMaster143', 'MasterChef143', 'https://www.twitch.tv/cookingmaster143', 'Cooking'),
(144, 'ArtGallery144', 'ArtCurator144', 'https://www.twitch.tv/artgallery144', 'Art'),
(145, 'TechInnovators145', 'Innovator145', 'https://www.twitch.tv/techinnovators145', 'Technology'),
(146, 'OutdoorsLife146', 'Explorer146', 'https://www.twitch.tv/outdoorslife146', 'Outdoors'),
(147, 'MusicJam147', 'Musician147', 'https://www.twitch.tv/musicjam147', 'Music'),
(148, 'HealthTalk148', 'Doctor148', 'https://www.twitch.tv/healthtalk148', 'Health'),
(149, 'PetsParadise149', 'PetLover149', 'https://www.twitch.tv/petsparadise149', 'Pets'),
(150, 'BusinessInsights150', 'BusinessExpert150', 'https://www.twitch.tv/businessinsights150', 'Business'),
(151, 'ScienceLab151', 'Scientist151', 'https://www.twitch.tv/sciencelab151', 'Science'),
(152, 'DIYProjects152', 'DIYer152', 'https://www.twitch.tv/diyprojects152', 'DIY'),
(153, 'CookingMaster153', 'MasterChef153', 'https://www.twitch.tv/cookingmaster153', 'Cooking'),
(154, 'ArtGallery154', 'ArtCurator154', 'https://www.twitch.tv/artgallery154', 'Art'),
(155, 'TechInnovators155', 'Innovator155', 'https://www.twitch.tv/techinnovators155', 'Technology'),
(156, 'OutdoorsLife156', 'Explorer156', 'https://www.twitch.tv/outdoorslife156', 'Outdoors'),
(157, 'MusicJam157', 'Musician157', 'https://www.twitch.tv/musicjam157', 'Music'),
(158, 'HealthTalk158', 'Doctor158', 'https://www.twitch.tv/healthtalk158', 'Health'),
(159, 'PetsParadise159', 'PetLover159', 'https://www.twitch.tv/petsparadise159', 'Pets'),
(160, 'BusinessInsights160', 'BusinessExpert160', 'https://www.twitch.tv/businessinsights160', 'Business'),
(161, 'ScienceLab161', 'Scientist161', 'https://www.twitch.tv/sciencelab161', 'Science'),
(162, 'DIYProjects162', 'DIYer162', 'https://www.twitch.tv/diyprojects162', 'DIY'),
(163, 'CookingMaster163', 'MasterChef163', 'https://www.twitch.tv/cookingmaster163', 'Cooking'),
(164, 'ArtGallery164', 'ArtCurator164', 'https://www.twitch.tv/artgallery164', 'Art'),
(165, 'TechInnovators165', 'Innovator165', 'https://www.twitch.tv/techinnovators165', 'Technology'),
(166, 'OutdoorsLife166', 'Explorer166', 'https://www.twitch.tv/outdoorslife166', 'Outdoors'),
(167, 'MusicJam167', 'Musician167', 'https://www.twitch.tv/musicjam167', 'Music'),
(168, 'HealthTalk168', 'Doctor168', 'https://www.twitch.tv/healthtalk168', 'Health'),
(169, 'PetsParadise169', 'PetLover169', 'https://www.twitch.tv/petsparadise169', 'Pets'),
(170, 'BusinessInsights170', 'BusinessExpert170', 'https://www.twitch.tv/businessinsights170', 'Business'),
(171, 'ScienceLab171', 'Scientist171', 'https://www.twitch.tv/sciencelab171', 'Science'),
(172, 'DIYProjects172', 'DIYer172', 'https://www.twitch.tv/diyprojects172', 'DIY'),
(173, 'CookingMaster173', 'MasterChef173', 'https://www.twitch.tv/cookingmaster173', 'Cooking'),
(174, 'ArtGallery174', 'ArtCurator174', 'https://www.twitch.tv/artgallery174', 'Art'),
(175, 'TechInnovators175', 'Innovator175', 'https://www.twitch.tv/techinnovators175', 'Technology'),
(176, 'OutdoorsLife176', 'Explorer176', 'https://www.twitch.tv/outdoorslife176', 'Outdoors'),
(177, 'MusicJam177', 'Musician177', 'https://www.twitch.tv/musicjam177', 'Music'),
(178, 'HealthTalk178', 'Doctor178', 'https://www.twitch.tv/healthtalk178', 'Health'),
(179, 'PetsParadise179', 'PetLover179', 'https://www.twitch.tv/petsparadise179', 'Pets'),
(180, 'BusinessInsights180', 'BusinessExpert180', 'https://www.twitch.tv/businessinsights180', 'Business'),
(181, 'ScienceLab181', 'Scientist181', 'https://www.twitch.tv/sciencelab181', 'Science'),
(182, 'DIYProjects182', 'DIYer182', 'https://www.twitch.tv/diyprojects182', 'DIY'),
(183, 'CookingMaster183', 'MasterChef183', 'https://www.twitch.tv/cookingmaster183', 'Cooking'),
(184, 'ArtGallery184', 'ArtCurator184', 'https://www.twitch.tv/artgallery184', 'Art'),
(185, 'TechInnovators185', 'Innovator185', 'https://www.twitch.tv/techinnovators185', 'Technology'),
(186, 'OutdoorsLife186', 'Explorer186', 'https://www.twitch.tv/outdoorslife186', 'Outdoors'),
(187, 'MusicJam187', 'Musician187', 'https://www.twitch.tv/musicjam187', 'Music'),
(188, 'HealthTalk188', 'Doctor188', 'https://www.twitch.tv/healthtalk188', 'Health'),
(189, 'PetsParadise189', 'PetLover189', 'https://www.twitch.tv/petsparadise189', 'Pets'),
(190, 'BusinessInsights190', 'BusinessExpert190', 'https://www.twitch.tv/businessinsights190', 'Business'),
(191, 'ScienceLab191', 'Scientist191', 'https://www.twitch.tv/sciencelab191', 'Science'),
(192, 'DIYProjects192', 'DIYer192', 'https://www.twitch.tv/diyprojects192', 'DIY'),
(193, 'CookingMaster193', 'MasterChef193', 'https://www.twitch.tv/cookingmaster193', 'Cooking'),
(194, 'ArtGallery194', 'ArtCurator194', 'https://www.twitch.tv/artgallery194', 'Art'),
(195, 'TechInnovators195', 'Innovator195', 'https://www.twitch.tv/techinnovators195', 'Technology'),
(196, 'OutdoorsLife196', 'Explorer196', 'https://www.twitch.tv/outdoorslife196', 'Outdoors'),
(197, 'MusicJam197', 'Musician197', 'https://www.twitch.tv/musicjam197', 'Music'),
(198, 'HealthTalk198', 'Doctor198', 'https://www.twitch.tv/healthtalk198', 'Health'),
(199, 'PetsParadise199', 'PetLover199', 'https://www.twitch.tv/petsparadise199', 'Pets'),
(200, 'BusinessInsights200', 'BusinessExpert200', 'https://www.twitch.tv/businessinsights200', 'Business'),
(201, 'ScienceLab201', 'Scientist201', 'https://www.twitch.tv/sciencelab201', 'Science'),
(202, 'DIYProjects202', 'DIYer202', 'https://www.twitch.tv/diyprojects202', 'DIY'),
(203, 'CookingMaster203', 'MasterChef203', 'https://www.twitch.tv/cookingmaster203', 'Cooking'),
(204, 'ArtGallery204', 'ArtCurator204', 'https://www.twitch.tv/artgallery204', 'Art'),
(205, 'TechInnovators205', 'Innovator205', 'https://www.twitch.tv/techinnovators205', 'Technology'),
(206, 'OutdoorsLife206', 'Explorer206', 'https://www.twitch.tv/outdoorslife206', 'Outdoors'),
(207, 'MusicJam207', 'Musician207', 'https://www.twitch.tv/musicjam207', 'Music'),
(208, 'HealthTalk208', 'Doctor208', 'https://www.twitch.tv/healthtalk208', 'Health'),
(209, 'PetsParadise209', 'PetLover209', 'https://www.twitch.tv/petsparadise209', 'Pets'),
(210, 'BusinessInsights210', 'BusinessExpert210', 'https://www.twitch.tv/businessinsights210', 'Business'),
(211, 'ScienceLab211', 'Scientist211', 'https://www.twitch.tv/sciencelab211', 'Science'),
(212, 'DIYProjects212', 'DIYer212', 'https://www.twitch.tv/diyprojects212', 'DIY'),
(213, 'CookingMaster213', 'MasterChef213', 'https://www.twitch.tv/cookingmaster213', 'Cooking'),
(214, 'ArtGallery214', 'ArtCurator214', 'https://www.twitch.tv/artgallery214', 'Art'),
(215, 'TechInnovators215', 'Innovator215', 'https://www.twitch.tv/techinnovators215', 'Technology'),
(216, 'OutdoorsLife216', 'Explorer216', 'https://www.twitch.tv/outdoorslife216', 'Outdoors'),
(217, 'MusicJam217', 'Musician217', 'https://www.twitch.tv/musicjam217', 'Music'),
(218, 'HealthTalk218', 'Doctor218', 'https://www.twitch.tv/healthtalk218', 'Health'),
(219, 'PetsParadise219', 'PetLover219', 'https://www.twitch.tv/petsparadise219', 'Pets'),
(220, 'BusinessInsights220', 'BusinessExpert220', 'https://www.twitch.tv/businessinsights220', 'Business'),
(221, 'ScienceLab221', 'Scientist221', 'https://www.twitch.tv/sciencelab221', 'Science'),
(222, 'DIYProjects222', 'DIYer222', 'https://www.twitch.tv/diyprojects222', 'DIY'),
(223, 'CookingMaster223', 'MasterChef223', 'https://www.twitch.tv/cookingmaster223', 'Cooking'),
(224, 'ArtGallery224', 'ArtCurator224', 'https://www.twitch.tv/artgallery224', 'Art'),
(225, 'TechInnovators225', 'Innovator225', 'https://www.twitch.tv/techinnovators225', 'Technology'),
(226, 'OutdoorsLife226', 'Explorer226', 'https://www.twitch.tv/outdoorslife226', 'Outdoors'),
(227, 'MusicJam227', 'Musician227', 'https://www.twitch.tv/musicjam227', 'Music'),
(228, 'HealthTalk228', 'Doctor228', 'https://www.twitch.tv/healthtalk228', 'Health'),
(229, 'PetsParadise229', 'PetLover229', 'https://www.twitch.tv/petsparadise229', 'Pets'),
(230, 'BusinessInsights230', 'BusinessExpert230', 'https://www.twitch.tv/businessinsights230', 'Business'),
(231, 'ScienceLab231', 'Scientist231', 'https://www.twitch.tv/sciencelab231', 'Science'),
(232, 'DIYProjects232', 'DIYer232', 'https://www.twitch.tv/diyprojects232', 'DIY'),
(233, 'CookingMaster233', 'MasterChef233', 'https://www.twitch.tv/cookingmaster233', 'Cooking'),
(234, 'ArtGallery234', 'ArtCurator234', 'https://www.twitch.tv/artgallery234', 'Art'),
(235, 'TechInnovators235', 'Innovator235', 'https://www.twitch.tv/techinnovators235', 'Technology'),
(236, 'OutdoorsLife236', 'Explorer236', 'https://www.twitch.tv/outdoorslife236', 'Outdoors'),
(237, 'MusicJam237', 'Musician237', 'https://www.twitch.tv/musicjam237', 'Music'),
(238, 'HealthTalk238', 'Doctor238', 'https://www.twitch.tv/healthtalk238', 'Health'),
(239, 'PetsParadise239', 'PetLover239', 'https://www.twitch.tv/petsparadise239', 'Pets'),
(240, 'BusinessInsights240', 'BusinessExpert240', 'https://www.twitch.tv/businessinsights240', 'Business'),
(241, 'ScienceLab241', 'Scientist241', 'https://www.twitch.tv/sciencelab241', 'Science'),
(242, 'DIYProjects242', 'DIYer242', 'https://www.twitch.tv/diyprojects242', 'DIY'),
(243, 'CookingMaster243', 'MasterChef243', 'https://www.twitch.tv/cookingmaster243', 'Cooking'),
(244, 'ArtGallery244', 'ArtCurator244', 'https://www.twitch.tv/artgallery244', 'Art'),
(245, 'TechInnovators245', 'Innovator245', 'https://www.twitch.tv/techinnovators245', 'Technology'),
(246, 'OutdoorsLife246', 'Explorer246', 'https://www.twitch.tv/outdoorslife246', 'Outdoors'),
(247, 'MusicJam247', 'Musician247', 'https://www.twitch.tv/musicjam247', 'Music'),
(248, 'HealthTalk248', 'Doctor248', 'https://www.twitch.tv/healthtalk248', 'Health'),
(249, 'PetsParadise249', 'PetLover249', 'https://www.twitch.tv/petsparadise249', 'Pets'),
(250, 'BusinessInsights250', 'BusinessExpert250', 'https://www.twitch.tv/businessinsights250', 'Business'),
(251, 'ScienceLab251', 'Scientist251', 'https://www.twitch.tv/sciencelab251', 'Science'),
(252, 'DIYProjects252', 'DIYer252', 'https://www.twitch.tv/diyprojects252', 'DIY'),
(253, 'CookingMaster253', 'MasterChef253', 'https://www.twitch.tv/cookingmaster253', 'Cooking'),
(254, 'ArtGallery254', 'ArtCurator254', 'https://www.twitch.tv/artgallery254', 'Art'),
(255, 'TechInnovators255', 'Innovator255', 'https://www.twitch.tv/techinnovators255', 'Technology'),
(256, 'OutdoorsLife256', 'Explorer256', 'https://www.twitch.tv/outdoorslife256', 'Outdoors'),
(257, 'MusicJam257', 'Musician257', 'https://www.twitch.tv/musicjam257', 'Music'),
(258, 'HealthTalk258', 'Doctor258', 'https://www.twitch.tv/healthtalk258', 'Health'),
(259, 'PetsParadise259', 'PetLover259', 'https://www.twitch.tv/petsparadise259', 'Pets'),
(260, 'BusinessInsights260', 'BusinessExpert260', 'https://www.twitch.tv/businessinsights260', 'Business'),
(261, 'ScienceLab261', 'Scientist261', 'https://www.twitch.tv/sciencelab261', 'Science'),
(262, 'DIYProjects262', 'DIYer262', 'https://www.twitch.tv/diyprojects262', 'DIY'),
(263, 'CookingMaster263', 'MasterChef263', 'https://www.twitch.tv/cookingmaster263', 'Cooking'),
(264, 'ArtGallery264', 'ArtCurator264', 'https://www.twitch.tv/artgallery264', 'Art'),
(265, 'TechInnovators265', 'Innovator265', 'https://www.twitch.tv/techinnovators265', 'Technology'),
(266, 'OutdoorsLife266', 'Explorer266', 'https://www.twitch.tv/outdoorslife266', 'Outdoors'),
(267, 'MusicJam267', 'Musician267', 'https://www.twitch.tv/musicjam267', 'Music'),
(268, 'HealthTalk268', 'Doctor268', 'https://www.twitch.tv/healthtalk268', 'Health'),
(269, 'PetsParadise269', 'PetLover269', 'https://www.twitch.tv/petsparadise269', 'Pets'),
(270, 'BusinessInsights270', 'BusinessExpert270', 'https://www.twitch.tv/businessinsights270', 'Business'),
(271, 'ScienceLab271', 'Scientist271', 'https://www.twitch.tv/sciencelab271', 'Science'),
(272, 'DIYProjects272', 'DIYer272', 'https://www.twitch.tv/diyprojects272', 'DIY'),
(273, 'CookingMaster273', 'MasterChef273', 'https://www.twitch.tv/cookingmaster273', 'Cooking'),
(274, 'ArtGallery274', 'ArtCurator274', 'https://www.twitch.tv/artgallery274', 'Art'),
(275, 'TechInnovators275', 'Innovator275', 'https://www.twitch.tv/techinnovators275', 'Technology'),
(276, 'OutdoorsLife276', 'Explorer276', 'https://www.twitch.tv/outdoorslife276', 'Outdoors'),
(277, 'MusicJam277', 'Musician277', 'https://www.twitch.tv/musicjam277', 'Music'),
(278, 'HealthTalk278', 'Doctor278', 'https://www.twitch.tv/healthtalk278', 'Health'),
(279, 'PetsParadise279', 'PetLover279', 'https://www.twitch.tv/petsparadise279', 'Pets'),
(280, 'BusinessInsights280', 'BusinessExpert280', 'https://www.twitch.tv/businessinsights280', 'Business'),
(281, 'ScienceLab281', 'Scientist281', 'https://www.twitch.tv/sciencelab281', 'Science'),
